id,date,retweets,source,author,likes,text,twitter_name,location,verified,followers,friends,polarity,subjectivity,1st review,2nd review,3rd review,sympathy?,"Hidden * change to 'hide' to hide verdict, helpful to avoid biases while reviewing"
2184934963,12-22-2020 23:22,71,Twitter Web App,GO GREEN,91,The death of summer Arctic ice our Earth cooler is now just a few years away if not sooner triggering a world wide climate planet break down supercharging global warming leaving much of the planet hostile to life abrupt climate change is only a matter of timeEnd fossil fuel,ECOWARRIORSS,,FALSE,23415,20439,-0.054365079,0.426984127,news,pro,pro,positive,
508658626,12-10-2020 14:30,14,Twitter for Advertisers,Elsevier Energy,98,Elsevier and the EditorsinChief are pleased to share the first volume of Energy and Climate Change now available on ScienceDirect Get FREE ACCESS until 1 June 2021,ElsevierEnergy,"Oxford, England",FALSE,6615,508,0.3875,0.633333333,news,news,news,positive,*remove the cell above when 3rd reviewer time
2607105006,12-22-2020 21:28,0,Twitter Web App,Arwyn Thomas,1,From better climate change education to improved sustainability heres what 2020 got right about environmental justice and global warming climate change environment hometopstory,siwarr5,Carmarthen,FALSE,22,133,0.261904762,0.345238095,news,neutral,neutral,neutral,
19609660,12-22-2020 21:24,0,Twitter Web App,"Tom Gillispie, EDITOR/WRITER",0,climate change Links to FIXING CLIMATE CHANGE climatechange CO2 global warming,EDITORatWORK,"Rural Hall, North Carolina, USA",FALSE,4191,3708,0,0,news,neutral,news,positive,
19609660,12-21-2020 22:52,1,Twitter Web App,"Tom Gillispie, EDITOR/WRITER",1,climate change The 11TH HOUR FOR THE EARTH climatechange global warming GlobalWarming,EDITORatWORK,"Rural Hall, North Carolina, USA",FALSE,4191,3708,0,0,anti,pro,pro,positive,
18210270,12-21-2020 15:45,0,Hootsuite Inc.,MapsofWorld,0,For years now scientists and governments have discussed and debated the effects of climate change and global warming Very little has been doneHave a look at Climate Change over the Centuryenvironment climate Change,mapsofworld,"San Jose, US",FALSE,5292,130,-0.121875,0.325,news,news,news,positive,
380346763,12-21-2020 13:00,0,Hootsuite Inc.,EHN,1,The growing impacts of climate change have already pushed more than 18 million people to migrate within South Asian countries but that could more than triple if global warming continues on its current path researchers have warned Reuters,EnvirHealthNews,"Charlottesville, VA",FALSE,10248,2466,0.2,0.28,news,news,news,positive,
154266844,12-20-2020 19:28,0,Twitter Web App,"Tom Gillispie, WRITER/EDITOR",0,deserts forests TURNING DESERTS INTO FORESTS climate change CO2 global warming,SptsGuy1,"Rural Hall, NC",FALSE,2281,2155,0,0,news,neutral,neutral,neutral,
610076827,12-20-2020 13:21,6,Twitter for iPhone,Chris Fox,8,The Federal Reserve on Tuesday took its most significant step forward on climate change announcing that it joined a group of some 75 other central banks focused on rooting out the risk warming poses to the global financial system via grist,ChristopherNFox,"Boston, MA",FALSE,18451,15267,0.125,0.333333333,news,news,news,positive,
1.16E+18,12-18-2020 20:17,1,Twitter Web App,"Greg Byrne, NL_Expatriate",1,cravecreative johnjakester Ordinary men should be required reading for all humans in positions of powerTHALIDOMIDECovid amp CO2 are lies built on inconvenient truthsBaby BOOMER Bust due to SEASONAL flu amp old ageMilankovitch cycles cause Climate ChangeObliquity is causing Global Warming,ExpatriateNl,Earth,FALSE,1331,3829,-0.175,0.415,anti,anti,anti,negative,
1.16E+18,12-18-2020 20:16,0,Twitter Web App,"Greg Byrne, NL_Expatriate",0,THALIDOMIDECovid amp CO2 are lies built on inconvenient truthsBaby BOOMER Bust due to SEASONAL flu amp old ageMilankovitch cycles cause Climate ChangeObliquity is causing Global WarmingPrecession Will cause Global Tsunamis at vernal equinoxesWwG1WgA Humanity,ExpatriateNl,Earth,FALSE,1331,3829,-0.125,0.315,anti,anti,anti,negative,
8.93E+17,12-18-2020 12:56,0,Twitter for iPhone,Alex Morrison M.S. will get vaccinated,0,Global warming is likely to cause global atmospheric circulation to change and progressively revert to a situation similar to that of 5000 to 10000 years agoClimateChange Climate ClimateAction,AlexMorrisonWX,"Moline, Il",FALSE,341,920,0,0.28,news,news,news,positive,
95418595,12-18-2020 12:00,0,Hootsuite Inc.,Daily Climate,0,Planetwarming carbon dioxide emissions from buildings and construction are jeopardising global goals to keep devastating climate change at bay Reuters,TheDailyClimate,"Bozeman, Mont.",FALSE,17704,1370,-0.5,0.5,news,news,news,positive,
15534684,12-17-2020 04:18,0,Twitter for Android,Eric Mack,0,Warming oceans contribute to storms that could drop 5 feet of snow on some towns in Japan this week This isnt just the kind of global weirding that defines 2020 its the change of climate systems that will redefine how we live in decades to come ClimateAction climate,EricCMack,New Mexico,FALSE,7094,2114,0.245454546,0.466666667,news,pro,pro,positive,
19609660,12-16-2020 22:46,0,Twitter Web App,"Tom Gillispie, EDITOR/WRITER",1,climate change NEW links to FIXING CLIMATE CHANGE climatechange CO2 global warming cutting emissions,EDITORatWORK,"Rural Hall, North Carolina, USA",FALSE,4191,3708,-0.154545455,0.451515152,news,news,news,positive,
1.16E+18,12-16-2020 20:24,0,Twitter Web App,"Greg Byrne, NL_Expatriate",4,globeandmail I wonder whyThe media and our govts are lying to usThe Milankovitch cycles cause climate change Global warming and global tsunamis at the vernal equinoxesCovid is the Baby Boomer Bust due to the seasonal FLU and old age,ExpatriateNl,Earth,FALSE,1331,3829,-0.00625,0.14375,anti,anti,anti,negative,"it has hoax, lyin keywords"
1.29E+18,12-15-2020 16:32,0,Twitter for iPhone,Mrunmayee Padhye,0,Global CO2 emissions from fossil fuel and industry are expected to drop in 2020 While it wont slow the pace of global warming it serves as a unique opportunity to secure longterm emissions cuts by following an economic recovery aligned with tackling climate change,MrunmayeePadhy1,"Mumbai, India",FALSE,11,74,0.071875,0.3375,news,news,news,positive,
454791422,12-15-2020 05:55,1,Twitter Web App,Terracon Ecotech Pvt. Ltd.,0,In 2019 a UN climate science report said the way the world manages land and how food is produced and consumed had to change to curb global warming or food security health and biodiversity would be at riskClimateChange climate,terracon_india,"Based in Mumbai, India",FALSE,249,328,0,0,news,news,news,positive,
27937612,12-14-2020 16:04,0,Twitter Web App,Lucy P. Marcus,0,Oil major Exxon Mobil Corp said on Monday it planned to reduce its greenhouse gas emissions over the next five years as investors and climate change campaigners ratchet up the pressure for action to limit global warming climate,lucymarcus,UK,TRUE,27470,594,0.040625,0.15,news,news,news,positive,
1.27E+18,12-13-2020 11:21,0,Twitter Web App,Maraaz.Com,0,Emergency call on climate change from Guterres United Nations SecretaryGeneral Antonio Guterres in his speech at the climate change summit For world leaders to take action to avoid global warming He said they should declare a climate emergency,Maraazcom,Global,FALSE,112,264,0.05,0.05,news,news,news,positive,
